ID,y
1,82.94951
2,97.652306
3,83.11505
4,76.98006
5,112.474335
8,91.58811
10,100.49458
11,94.89221
12,117.048134
14,95.886536
15,116.023796
16,105.54761
17,100.918594
19,91.15351
20,100.3694
21,104.395775
22,118.81243
23,100.918594
26,95.74621
28,96.23513
29,100.918594
33,100.918594
35,94.37763
41,100.918594
42,94.38573
43,113.33319
45,102.087776
46,101.584045
51,94.3609
53,84.85784
55,109.396835
56,105.641914
57,110.04235
58,99.0741
59,103.84183
63,105.30833
64,94.3325
65,101.04586
69,97.13367
71,99.396576
72,104.86209
73,95.01774
76,104.624664
77,96.97557
78,115.94063
82,94.27686
83,101.04586
84,101.26907
85,106.96284
87,110.56208
88,100.918594
89,110.42893
91,98.22637
93,102.310425
94,104.62837
95,100.16573
96,111.20305
97,95.83459
98,109.884865
99,99.1236
101,105.91822
103,110.42893
104,93.78665
105,110.03654
110,97.31305
111,102.833885
113,104.54822
114,96.37947
115,111.31906
117,110.42893
120,95.77706
121,113.13481
122,94.71153
123,106.00381
126,108.396194
132,109.22943
135,110.6969
137,102.88272
138,95.05778
140,104.298615
142,108.589935
144,110.65818
148,91.89318
149,113.57101
155,103.09775
156,111.73081
157,95.83459
162,113.505264
163,95.77587
167,94.45755
172,113.33319
179,107.11349
180,94.536964
181,107.782425
182,97.09907
183,110.42893
185,110.42893
187,107.18014
188,92.94232
189,93.97439
191,93.92634
192,103.848854
193,94.16224
194,107.614
195,94.5309
196,99.4642
198,108.85829
199,111.136475
201,100.02668
204,95.19565
205,106.577705
206,106.72973
210,97.409836
211,105.91822
216,111.85903
219,117.048134
220,92.87071
221,109.19702
226,107.782425
227,92.759674
228,110.15553
230,109.64611
231,95.83459
235,118.81243
236,98.743286
238,111.72152
242,104.44584
243,93.93582
244,79.82977
245,110.80666
247,115.456856
248,95.121376
249,91.23389
250,113.21112
251,98.743286
253,118.81243
254,95.06341
256,95.33331
257,92.28703
258,108.89605
259,98.63846
262,91.842804
266,101.431885
267,112.952065
272,104.10263
273,110.42893
275,94.12188
276,108.94807
279,93.12165
280,101.04586
283,92.80273
285,109.78
288,110.42893
289,108.74143
290,100.65185
291,95.196434
292,105.26891
293,105.749466
296,94.0983
297,105.655
298,115.98071
299,93.91658
304,91.676155
305,87.78685
306,95.05311
307,109.078186
311,104.00712
313,108.9076
314,92.77934
316,110.72616
324,111.17889
327,98.8998
329,92.21374
330,109.877304
337,97.7644
338,95.17762
339,100.21996
